date,open,close,high,low,volume,money
2005-01-04,1.27,1.26,1.28,1.26,448177.0,566767.0
2005-01-05,1.26,1.3,1.3,1.25,792097.0,1010547.0
2005-01-06,1.29,1.27,1.29,1.27,458018.0,583816.0
2005-01-07,1.27,1.31,1.31,1.27,986124.0,1279593.0
2005-01-10,1.32,1.34,1.35,1.31,1396781.0,1855204.0
2005-01-11,1.32,1.34,1.35,1.32,676772.0,906307.0
2005-01-12,1.34,1.33,1.34,1.32,505778.0,669183.0
2005-01-13,1.33,1.32,1.34,1.31,766816.0,1014031.0
2005-01-14,1.34,1.31,1.34,1.3,470551.0,621120.0
2005-01-17,1.3,1.28,1.3,1.26,738363.0,943851.0
2005-01-18,1.28,1.32,1.33,1.27,1058819.0,1367120.0
2005-01-19,1.3,1.31,1.32,1.29,384886.0,503257.0
2005-01-20,1.3,1.3,1.31,1.29,647394.0,840728.0
2005-01-21,1.3,1.32,1.33,1.29,1142316.0,1503875.0
2005-01-24,1.37,1.35,1.39,1.34,1436101.0,1942922.0
2005-01-25,1.35,1.34,1.35,1.33,458426.0,612163.0
2005-01-26,1.32,1.32,1.35,1.32,421129.0,560446.0
2005-01-27,1.33,1.3,1.33,1.3,447998.0,586869.0
2005-01-28,1.31,1.23,1.31,1.23,1413936.0,1786784.0
2005-01-31,1.24,1.18,1.24,1.12,1723414.0,2067603.0
2005-02-01,1.18,1.18,1.2,1.18,936020.0,1114719.0
2005-02-02,1.17,1.25,1.27,1.17,1613267.0,1980016.0
2005-02-03,1.24,1.23,1.27,1.22,1111780.0,1373234.0
2005-02-04,1.23,1.25,1.26,1.22,1001628.0,1241162.0
2005-02-16,1.27,1.27,1.29,1.25,821005.0,1045498.0
2005-02-17,1.26,1.28,1.29,1.26,731966.0,931960.0
2005-02-18,1.28,1.28,1.29,1.27,554815.0,708645.0
2005-02-21,1.27,1.29,1.29,1.27,1013257.0,1300365.0
2005-02-22,1.29,1.32,1.32,1.28,2732436.0,3559091.0
2005-02-23,1.32,1.33,1.34,1.3,2284430.0,3019877.0
2005-02-24,1.32,1.31,1.33,1.3,1440622.0,1889036.0
2005-02-25,1.32,1.31,1.34,1.31,1700017.0,2244317.0
2005-02-28,1.3,1.31,1.32,1.3,1107063.0,1453337.0
2005-03-01,1.31,1.31,1.32,1.29,995551.0,1295700.0
2005-03-02,1.32,1.33,1.39,1.32,7616167.0,10290554.0
2005-03-03,1.32,1.34,1.35,1.31,2317896.0,3092554.0
2005-03-04,1.34,1.3,1.35,1.3,1549488.0,2050495.0
2005-03-07,1.29,1.31,1.32,1.29,614484.0,801196.0
2005-03-08,1.3,1.33,1.33,1.3,1206309.0,1583250.0
2005-03-09,1.32,1.32,1.34,1.31,775179.0,1023330.0
2005-03-10,1.31,1.27,1.32,1.26,1236827.0,1598385.0
2005-03-11,1.27,1.26,1.29,1.24,1421537.0,1791665.0
2005-03-14,1.26,1.23,1.26,1.22,1032778.0,1278855.0
2005-03-15,1.23,1.24,1.25,1.23,1074545.0,1328886.0
2005-03-16,1.23,1.25,1.25,1.22,864614.0,1063214.0
2005-03-17,1.25,1.22,1.25,1.22,511555.0,630783.0
2005-03-18,1.22,1.21,1.23,1.2,984718.0,1192696.0
2005-03-21,1.21,1.21,1.22,1.2,717908.0,870594.0
2005-03-22,1.22,1.17,1.22,1.16,1148333.0,1354418.0
2005-03-23,1.16,1.16,1.18,1.13,609733.0,704067.0
2005-03-24,1.15,1.18,1.18,1.14,551371.0,640566.0
2005-03-25,1.17,1.17,1.19,1.16,675873.0,799015.0
2005-03-28,1.27,1.22,1.27,1.17,2099999.0,2523896.0
2005-03-29,1.23,1.19,1.23,1.18,2821793.0,3415760.0
2005-03-30,1.18,1.15,1.18,1.15,1277116.0,1484105.0
2005-03-31,1.14,1.19,1.19,1.12,955709.0,1097732.0
2005-04-01,1.2,1.23,1.26,1.19,5281715.0,6394869.0
2005-04-04,1.22,1.19,1.24,1.19,1700201.0,2060077.0
2005-04-05,1.2,1.23,1.23,1.19,3025219.0,3701169.0
2005-04-06,1.23,1.23,1.24,1.21,1548207.0,1899813.0
2005-04-07,1.23,1.24,1.27,1.21,2611534.0,3248152.0
2005-04-08,1.23,1.25,1.26,1.22,1522097.0,1889145.0
2005-04-11,1.25,1.24,1.26,1.22,1347354.0,1671741.0
2005-04-12,1.24,1.22,1.25,1.22,1049533.0,1289106.0
2005-04-13,1.23,1.25,1.27,1.23,1719288.0,2155002.0
2005-04-14,1.26,1.27,1.34,1.26,4688389.0,6057723.0
