Date,open,close,high,low,volume,money
2007-09-19,5.23,4.35,5.51,4.21,64899175.0,326271233.0
2007-09-20,4.14,4.02,4.46,3.94,36295773.0,149491167.0
2007-09-21,3.99,3.9,3.99,3.77,20916982.0,81015617.0
2007-09-24,3.79,3.63,3.81,3.62,13222356.0,48732472.0
2007-09-25,3.58,3.74,3.8,3.58,12211393.0,45362092.0
2007-09-26,3.67,3.53,3.71,3.49,7047069.0,25402773.0
2007-09-27,3.49,3.56,3.61,3.49,4454854.0,15862475.0
2007-09-28,3.6,3.76,3.82,3.56,10014264.0,37286655.0
2007-10-08,3.82,3.75,3.87,3.73,5903167.0,22375227.0
2007-10-09,3.73,3.85,3.91,3.66,5861017.0,22278896.0
2007-10-10,3.85,3.75,3.87,3.74,4103638.0,15516189.0
2007-10-11,3.7,3.98,4.04,3.7,8621579.0,33192777.0
2007-10-12,3.94,4.2,4.2,3.82,17390704.0,70925440.0
2007-10-15,4.21,4.07,4.26,4.05,9783760.0,40653300.0
2007-10-16,4.07,3.99,4.13,3.87,5739651.0,22763608.0
2007-10-17,3.96,3.87,3.99,3.81,3767669.0,14639127.0
2007-10-18,3.86,3.85,3.91,3.81,3171108.0,12286869.0
2007-10-19,3.85,3.76,3.92,3.74,2842575.0,10904699.0
2007-10-22,3.68,3.56,3.75,3.55,3820699.0,13870054.0
2007-10-23,3.56,3.64,3.66,3.55,1923790.0,6929937.0
2007-10-24,3.63,3.63,3.69,3.58,1786294.0,6507369.0
2007-10-25,3.63,3.28,3.63,3.28,4529194.0,15271898.0
2007-10-26,3.28,3.2,3.28,3.15,3291499.0,10527362.0
2007-10-29,3.23,3.23,3.28,3.16,2264917.0,7280705.0
2007-10-30,3.23,3.23,3.23,3.23,0.0,0.0
2007-10-31,3.25,3.45,3.54,3.25,3092638.0,10645718.0
2007-11-01,3.45,3.29,3.45,3.29,1880749.0,6314567.0
2007-11-02,3.22,3.11,3.22,3.11,4318325.0,13618169.0
2007-11-05,3.1,3.15,3.2,3.03,1657201.0,5203265.0
2007-11-06,3.18,3.16,3.21,3.12,1754422.0,5574587.0
2007-11-07,3.2,3.11,3.2,3.07,1622694.0,5070950.0
2007-11-08,3.1,3.11,3.17,3.07,1575158.0,4895083.0
2007-11-09,3.14,3.09,3.15,3.05,1820801.0,5642420.0
2007-11-12,3.02,2.94,3.06,2.9,2581541.0,7599415.0
2007-11-13,2.94,2.95,3.01,2.91,1423954.0,4214554.0
2007-11-14,3.04,3.05,3.08,2.98,2984963.0,9088849.0
2007-11-15,3.06,3.07,3.15,3.03,2440342.0,7513474.0
2007-11-16,3.06,3.19,3.21,3.03,2230143.0,6986453.0
2007-11-19,3.22,3.32,3.41,3.16,4737984.0,15686270.0
2007-11-20,3.32,3.27,3.32,3.24,2061758.0,6753010.0
2007-11-21,3.27,3.35,3.4,3.22,3495283.0,11556858.0
2007-11-22,3.34,3.23,3.46,3.22,5960600.0,20119500.0
2007-11-23,3.17,3.24,3.27,3.16,1305422.0,4200765.0
2007-11-26,3.3,3.39,3.5,3.26,5826411.0,19819833.0
2007-11-27,3.36,3.38,3.53,3.35,3908815.0,13430082.0
2007-11-28,3.35,3.19,3.43,3.15,3554751.0,11549193.0
2007-11-29,3.26,3.29,3.32,3.15,2709567.0,8741224.0
2007-11-30,3.28,3.32,3.33,3.23,2516252.0,8228327.0
