Date,open,close,high,low,volume,money
2005-01-04,1.41,1.36,1.41,1.34,1671089.0,2274258.0
2005-01-05,1.35,1.3,1.38,1.27,3424755.0,4486061.0
2005-01-06,1.3,1.23,1.3,1.2,4760781.0,5797708.0
2005-01-07,1.21,1.21,1.23,1.2,1289507.0,1561970.0
2005-01-10,1.21,1.23,1.23,1.2,918798.0,1114416.0
2005-01-11,1.23,1.24,1.24,1.21,615562.0,752306.0
2005-01-12,1.24,1.23,1.24,1.23,483361.0,593719.0
2005-01-13,1.23,1.23,1.23,1.23,727107.0,893947.0
2005-01-14,1.24,1.24,1.24,1.23,545313.0,675609.0
2005-01-17,1.23,1.21,1.23,1.2,3365579.0,4085195.0
2005-01-18,1.21,1.27,1.29,1.16,2383406.0,2873059.0
2005-01-19,1.26,1.26,1.26,1.22,1642732.0,2048559.0
2005-01-20,1.25,1.26,1.27,1.24,789555.0,986733.0
2005-01-21,1.24,1.27,1.27,1.24,361884.0,455941.0
2005-01-24,1.31,1.25,1.31,1.25,836999.0,1053952.0
2005-01-25,1.25,1.27,1.28,1.16,586643.0,728555.0
2005-01-26,1.24,1.27,1.27,1.22,494433.0,619241.0
2005-01-27,1.24,1.26,1.26,1.22,811385.0,1009011.0
2005-01-28,1.25,1.26,1.26,1.22,674226.0,842619.0
2005-01-31,1.23,1.25,1.25,1.23,120617.0,149699.0
2005-02-01,1.25,1.22,1.25,1.18,891532.0,1083227.0
2005-02-02,1.24,1.24,1.25,1.19,976223.0,1193560.0
2005-02-03,1.23,1.19,1.24,1.12,6776287.0,7953027.0
2005-02-04,1.15,1.19,1.21,1.11,4502658.0,5211359.0
2005-02-16,1.2,1.22,1.23,1.14,5308094.0,6256349.0
2005-02-17,1.19,1.22,1.22,1.19,842783.0,1015576.0
2005-02-18,1.21,1.22,1.24,1.19,1244674.0,1507809.0
2005-02-21,1.2,1.27,1.27,1.2,1847215.0,2308039.0
2005-02-22,1.27,1.38,1.39,1.26,3105175.0,4171618.0
2005-02-23,1.36,1.39,1.43,1.36,4420875.0,6073387.0
2005-02-24,1.37,1.38,1.4,1.36,1459204.0,2015106.0
2005-02-25,1.38,1.36,1.38,1.36,1472441.0,2021498.0
2005-02-28,1.34,1.36,1.36,1.34,254487.0,343482.0
2005-03-01,1.36,1.29,1.36,1.29,1763234.0,2307448.0
2005-03-02,1.3,1.31,1.32,1.28,562847.0,734517.0
2005-03-03,1.3,1.31,1.32,1.3,336386.0,440202.0
2005-03-04,1.32,1.3,1.32,1.27,504017.0,650208.0
2005-03-07,1.29,1.3,1.3,1.28,504017.0,649842.0
2005-03-08,1.29,1.32,1.34,1.29,5351852.0,7047668.0
2005-03-09,1.32,1.24,1.32,1.19,21052911.0,26076331.0
2005-03-10,1.21,1.19,1.22,1.19,5857538.0,7061290.0
2005-03-11,1.19,1.18,1.2,1.16,5306755.0,6280799.0
2005-03-14,1.19,1.2,1.22,1.19,4397112.0,5310775.0
2005-03-15,1.2,1.16,1.2,1.16,2918342.0,3428274.0
2005-03-16,1.16,1.14,1.16,1.13,3365496.0,3846234.0
2005-03-17,1.14,1.13,1.18,1.13,2206934.0,2529958.0
2005-03-18,1.15,1.13,1.16,1.13,2331699.0,2645258.0
2005-03-21,1.12,1.1,1.13,1.08,2209562.0,2428435.0
2005-03-22,1.1,1.08,1.1,1.08,1672345.0,1815416.0
2005-03-23,1.1,1.09,1.1,1.06,1755302.0,1891561.0
2005-03-24,1.07,1.12,1.12,1.07,4398979.0,4833956.0
2005-03-25,1.13,1.12,1.13,1.1,1789806.0,1984955.0
2005-03-28,1.11,1.09,1.11,1.05,1875621.0,2037338.0
2005-03-29,1.11,1.09,1.11,1.08,567193.0,616994.0
2005-03-30,1.09,1.08,1.09,1.05,2137727.0,2284655.0
2005-03-31,1.06,1.09,1.12,1.06,2367410.0,2562869.0
2005-04-01,1.08,1.1,1.13,1.08,7970081.0,8758581.0
2005-04-04,1.09,1.09,1.1,1.08,4918398.0,5348809.0
2005-04-05,1.07,1.06,1.09,1.06,4478283.0,4820495.0
2005-04-06,1.06,1.04,1.07,1.01,9133683.0,9427497.0
2005-04-07,1.05,1.08,1.08,1.03,7193068.0,7669656.0
2005-04-08,1.08,1.13,1.14,1.08,6216465.0,6897397.0
2005-04-11,1.12,1.11,1.15,1.11,5714728.0,6418990.0
2005-04-12,1.11,1.1,1.12,1.09,3137383.0,3444846.0
2005-04-13,1.11,1.12,1.13,1.1,5268913.0,5885111.0
2005-04-14,1.13,1.12,1.13,1.11,3600814.0,4022672.0
2005-04-15,1.11,1.09,1.12,1.09,2366402.0,2611618.0
2005-04-18,1.09,1.06,1.09,1.02,4494230.0,4690133.0
2005-04-19,1.05,1.06,1.07,1.03,1414553.0,1483261.0
2005-04-20,1.05,1.07,1.07,1.04,2894876.0,3041316.0
2005-04-21,1.06,1.06,1.07,1.04,2417630.0,2544043.0
2005-04-22,1.01,1.0,1.04,0.98,6848783.0,6886900.0
2005-04-25,0.98,0.98,1.0,0.94,3801710.0,3665803.0
2005-04-26,0.97,1.0,1.01,0.97,6306791.0,6179989.0
2005-04-27,1.01,0.98,1.02,0.98,3668898.0,3621938.0
2005-04-28,0.98,1.02,1.02,0.97,4748502.0,4719636.0
2005-04-29,1.02,1.01,1.02,1.0,2657492.0,2690701.0
2005-05-09,1.01,1.01,1.03,1.0,1215921.0,1232577.0
2005-05-10,1.01,0.99,1.01,0.97,1020990.0,1003565.0
2005-05-11,1.0,0.99,1.0,0.97,1243683.0,1230154.0
2005-05-12,0.98,0.99,0.99,0.96,3700312.0,3620596.0
2005-05-13,0.99,0.98,0.99,0.96,1585093.0,1549691.0
2005-05-16,0.97,0.95,0.98,0.94,1201379.0,1144496.0
2005-05-17,0.94,0.91,0.95,0.91,5463975.0,5050710.0
2005-05-18,0.91,0.91,0.93,0.88,7407730.0,6620497.0
2005-05-19,0.9,0.92,0.93,0.87,5423770.0,4912849.0
2005-05-20,0.92,0.92,0.92,0.92,0.0,0.0
2005-05-23,0.92,0.89,0.92,0.88,870876.0,777363.0
2005-05-24,0.9,0.91,0.92,0.87,3119949.0,2792955.0
2005-05-25,0.9,0.89,0.91,0.88,1383155.0,1238845.0
2005-05-26,0.88,0.89,0.89,0.87,2809408.0,2470591.0
2005-05-27,0.88,0.84,0.88,0.84,2996638.0,2562924.0
2005-05-30,0.83,0.82,0.83,0.79,3267072.0,2623609.0
2005-05-31,0.82,0.82,0.82,0.8,1189976.0,967823.0
2005-06-01,0.82,0.8,0.82,0.79,1387287.0,1112849.0
2005-06-02,0.79,0.77,0.8,0.76,2345464.0,1817124.0
2005-06-03,0.75,0.78,0.78,0.75,763462.0,585233.0
2005-06-06,0.76,0.76,0.77,0.74,8178347.0,6183750.0
2005-06-07,0.76,0.78,0.8,0.76,14106679.0,11056897.0
2005-06-08,0.79,0.86,0.86,0.78,18361328.0,15035264.0
2005-06-09,0.86,0.87,0.9,0.84,6550701.0,5682527.0
2005-06-10,0.87,0.81,0.88,0.81,8861903.0,7397227.0
2005-06-13,0.8,0.8,0.81,0.79,4533486.0,3621623.0
2005-06-14,0.8,0.8,0.82,0.8,4397710.0,3556502.0
2005-06-15,0.8,0.77,0.8,0.76,5507829.0,4226919.0
2005-06-16,0.76,0.77,0.77,0.74,3854222.0,2917148.0
2005-06-17,0.77,0.82,0.84,0.77,13624885.0,11108870.0
2005-06-20,0.81,0.86,0.86,0.81,13028520.0,11034033.0
2005-06-21,0.84,0.83,0.87,0.82,7621643.0,6423002.0
2005-06-22,0.83,0.87,0.87,0.82,6437632.0,5469978.0
2005-06-23,0.87,0.92,0.93,0.87,24783812.0,22501976.0
2005-06-24,0.91,0.91,0.92,0.89,6750368.0,6129188.0
2005-06-27,0.92,0.94,0.96,0.92,11786650.0,11140137.0
2005-06-28,0.93,0.92,0.94,0.91,6828872.0,6260892.0
2005-06-29,0.92,0.93,0.94,0.89,5999613.0,5534134.0
2005-06-30,0.92,0.9,0.93,0.9,8107013.0,7363162.0
2005-07-01,0.9,0.87,0.9,0.85,7698783.0,6751810.0
2005-07-04,0.87,0.88,0.89,0.85,3144869.0,2740768.0
2005-07-05,0.89,0.88,0.89,0.86,1381454.0,1212635.0
2005-07-06,0.87,0.87,0.89,0.87,1570353.0,1374243.0
2005-07-07,0.86,0.88,0.89,0.86,1392807.0,1209838.0
2005-07-08,0.85,0.87,0.88,0.85,2791154.0,2388397.0
2005-07-11,0.87,0.88,0.9,0.86,6879021.0,6108621.0
2005-07-12,0.88,0.91,0.92,0.87,5445822.0,4941861.0
2005-07-13,0.92,0.91,0.92,0.9,1967762.0,1775728.0
2005-07-14,0.91,0.9,0.91,0.9,2278588.0,2064443.0
2005-07-15,0.91,0.89,0.92,0.88,1622494.0,1449072.0
2005-07-18,0.88,0.86,0.89,0.84,2955273.0,2562533.0
2005-07-19,0.83,0.86,0.88,0.83,1645174.0,1414094.0
2005-07-20,0.86,0.86,0.87,0.83,2983807.0,2512931.0
2005-07-21,0.85,0.86,0.86,0.85,1113367.0,947308.0
2005-07-22,0.85,0.89,0.9,0.85,3438214.0,3006417.0
2005-07-25,0.88,0.88,0.89,0.86,1111047.0,969116.0
2005-07-26,0.87,0.91,0.92,0.86,3856051.0,3479044.0
2005-07-27,0.91,0.93,0.93,0.91,4858490.0,4471077.0
2005-07-28,0.93,0.91,0.93,0.9,3814431.0,3510769.0
2005-07-29,0.9,0.91,0.92,0.89,1526332.0,1382121.0
2005-08-01,0.91,0.91,0.92,0.9,796946.0,728046.0
2005-08-02,0.91,0.94,0.94,0.91,4144238.0,3861853.0
2005-08-03,0.94,0.93,0.95,0.92,5595599.0,5212214.0
2005-08-04,0.92,0.92,0.94,0.92,1720335.0,1595751.0
2005-08-05,0.92,0.94,0.95,0.92,4738065.0,4425887.0
2005-08-08,0.95,0.98,1.01,0.95,17592655.0,17412314.0
2005-08-09,0.99,1.03,1.03,0.98,17682772.0,17920742.0
2005-08-10,1.03,1.02,1.03,1.0,10775068.0,10889335.0
2005-08-11,1.02,1.05,1.05,1.01,12338994.0,12726040.0
2005-08-12,1.04,1.0,1.05,1.0,6078909.0,6225022.0
2005-08-15,1.01,1.04,1.04,1.0,4140922.0,4230759.0
2005-08-16,1.04,1.03,1.04,1.01,4487268.0,4603726.0
2005-08-17,1.03,1.03,1.03,0.99,4095004.0,4143688.0
2005-08-18,1.03,0.96,1.03,0.96,6383116.0,6419421.0
2005-08-19,0.96,0.96,0.99,0.95,7949826.0,7652978.0
2005-08-22,0.95,0.96,0.97,0.95,3172515.0,3041041.0
2005-08-23,0.96,0.98,0.99,0.95,3671559.0,3544426.0
2005-08-24,0.99,0.99,1.03,0.98,2251023.0,2240109.0
2005-08-25,0.99,0.99,1.0,0.97,2351934.0,2320975.0
2005-08-26,0.99,0.99,0.99,0.98,1279710.0,1262858.0
2005-08-29,1.0,1.01,1.03,0.98,3173962.0,3156628.0
2005-08-30,1.01,1.0,1.01,0.99,1678988.0,1682792.0
2005-08-31,1.0,1.01,1.01,0.99,1877931.0,1884942.0
2005-09-01,1.01,1.03,1.03,1.01,3308988.0,3380321.0
2005-09-02,1.03,1.03,1.04,1.02,2611438.0,2688106.0
2005-09-05,1.04,1.09,1.09,1.03,9653664.0,10392214.0
2005-09-06,1.1,1.09,1.11,1.07,10020192.0,10994889.0
2005-09-07,1.08,1.14,1.14,1.07,13189337.0,14674186.0
2005-09-08,1.15,1.14,1.17,1.11,8336400.0,9552573.0
2005-09-09,1.13,1.12,1.15,1.1,5191804.0,5797667.0
2005-09-12,1.12,1.16,1.17,1.12,8727177.0,9999572.0
2005-09-13,1.16,1.19,1.19,1.15,9729466.0,11482881.0
2005-09-14,1.19,1.17,1.2,1.16,3212047.0,3802917.0
2005-09-15,1.17,1.19,1.21,1.17,4452921.0,5312969.0
2005-09-16,1.18,1.16,1.19,1.16,4021439.0,4722748.0
2005-09-19,1.17,1.16,1.18,1.14,3051586.0,3546557.0
2005-09-20,1.15,1.18,1.18,1.14,4397724.0,5107127.0
2005-09-21,1.18,1.17,1.19,1.15,5015336.0,5872941.0
2005-09-22,1.14,1.15,1.18,1.12,2033522.0,2332849.0
2005-09-23,1.14,1.15,1.16,1.14,1010272.0,1156562.0
2005-09-26,1.14,1.13,1.14,1.12,1579114.0,1784273.0
2005-09-27,1.12,1.13,1.15,1.12,5097566.0,5769468.0
2005-09-28,1.13,1.13,1.14,1.11,1296399.0,1457306.0
2005-09-29,1.12,1.15,1.15,1.12,1971542.0,2247295.0
2005-09-30,1.17,1.16,1.2,1.14,1529238.0,1785155.0
2005-10-10,1.17,1.16,1.17,1.15,745065.0,866097.0
2005-10-11,1.16,1.19,1.19,1.15,3299026.0,3870804.0
2005-10-12,1.18,1.18,1.19,1.15,1828274.0,2152266.0
2005-10-13,1.19,1.24,1.25,1.18,10702731.0,13055045.0
2005-10-14,1.24,1.27,1.29,1.24,11909135.0,15181384.0
2005-10-17,1.27,1.27,1.27,1.27,0.0,0.0
2005-10-18,1.27,1.27,1.27,1.27,0.0,0.0
2005-10-19,1.27,1.27,1.27,1.27,0.0,0.0
2005-10-20,1.27,1.27,1.27,1.27,0.0,0.0
2005-10-21,1.27,1.27,1.27,1.27,0.0,0.0
2005-10-24,1.27,1.27,1.27,1.27,0.0,0.0
2005-10-25,1.27,1.27,1.27,1.27,0.0,0.0
2005-10-26,1.27,1.27,1.27,1.27,0.0,0.0
2005-10-27,1.24,1.31,1.36,1.2,17586473.0,23018128.0
2005-10-28,1.31,1.3,1.34,1.26,3219675.0,4145919.0
2005-10-31,1.3,1.28,1.3,1.26,3889742.0,4981578.0
2005-11-01,1.26,1.28,1.29,1.25,1287202.0,1625028.0
2005-11-02,1.25,1.28,1.29,1.25,1668058.0,2133919.0
2005-11-03,1.27,1.26,1.28,1.26,1045847.0,1321106.0
2005-11-04,1.26,1.26,1.27,1.24,2356219.0,2927954.0
2005-11-07,1.27,1.28,1.29,1.25,1310004.0,1663877.0
2005-11-08,1.29,1.28,1.3,1.27,1390856.0,1784276.0
2005-11-09,1.3,1.29,1.3,1.27,3199370.0,4116133.0
2005-11-10,1.29,1.31,1.32,1.28,1919729.0,2487978.0
2005-11-11,1.35,1.32,1.35,1.29,2626558.0,3470333.0
2005-11-14,1.32,1.32,1.32,1.32,0.0,0.0
2005-11-15,1.32,1.32,1.32,1.32,0.0,0.0
2005-11-16,1.32,1.32,1.32,1.32,0.0,0.0
2005-11-17,1.32,1.32,1.32,1.32,0.0,0.0
2005-11-18,1.32,1.32,1.32,1.32,0.0,0.0
2005-11-21,1.32,1.32,1.32,1.32,0.0,0.0
2005-11-22,1.32,1.32,1.32,1.32,0.0,0.0
2005-11-23,1.32,1.32,1.32,1.32,0.0,0.0
2005-11-24,1.32,1.32,1.32,1.32,0.0,0.0
2005-11-25,1.32,1.32,1.32,1.32,0.0,0.0
2005-11-28,1.32,1.32,1.32,1.32,0.0,0.0
2005-11-29,1.32,1.32,1.32,1.32,0.0,0.0
2005-11-30,1.32,1.32,1.32,1.32,0.0,0.0
2005-12-01,1.32,1.32,1.32,1.32,0.0,0.0
2005-12-02,1.32,1.32,1.32,1.32,0.0,0.0
2005-12-05,1.33,1.24,1.33,1.23,1835090.0,2325004.0
2005-12-06,1.24,1.22,1.25,1.22,454074.0,557691.0
2005-12-07,1.22,1.22,1.26,1.22,554915.0,685153.0
2005-12-08,1.22,1.2,1.24,1.18,905986.0,1090532.0
2005-12-09,1.21,1.22,1.22,1.19,1232867.0,1482541.0
2005-12-12,1.22,1.22,1.23,1.2,510358.0,621075.0
2005-12-13,1.22,1.23,1.24,1.22,688859.0,841419.0
2005-12-14,1.22,1.24,1.24,1.22,521729.0,643157.0
2005-12-15,1.23,1.23,1.25,1.23,931288.0,1153183.0
2005-12-16,1.22,1.24,1.25,1.22,676334.0,833833.0
2005-12-19,1.23,1.23,1.25,1.22,672303.0,826430.0
2005-12-20,1.23,1.19,1.23,1.19,1475610.0,1765698.0
2005-12-21,1.19,1.19,1.19,1.17,475250.0,563734.0
2005-12-22,1.19,1.18,1.19,1.16,1141023.0,1333427.0
2005-12-23,1.18,1.18,1.2,1.17,3515259.0,4146485.0
